Home_Team,Away_Team,Result,Knockout_Stage,Home_Win,Draw,Away_Win
Qatar,Ecuador,-1,0,0,0,1
England,Iran,1,0,1,0,0
Senegal,Netherlands,-1,0,0,0,1
USA,Wales,0,0,0,1,0
Argentina,Saudi Arabia,-1,0,0,0,1
Denmark,Tunisia,0,0,0,1,0
Mexico,Poland,0,0,0,1,0
France,Australia,1,0,1,0,0
Morocco,Croatia,0,0,0,1,0
Germany,Japan,-1,0,0,0,1
Spain,Costa Rica,1,0,1,0,0
Belgium,Canada,1,0,1,0,0
Switzerland,Cameroon,1,0,1,0,0
Uruguay,South Korea,0,0,0,1,0
Portugal,Ghana,1,0,1,0,0
Brazil,Serbia,1,0,1,0,0
Wales,Iran,-1,0,0,0,1
Qatar,Senegal,-1,0,0,0,1
Netherlands,Ecuador,0,0,0,1,0
England,USA,0,0,0,1,0
Tunisia,Australia,-1,0,0,0,1
Poland,Saudi Arabia,1,0,1,0,0
France,Denmark,1,0,1,0,0
Argentina,Mexico,1,0,1,0,0
Japan,Costa Rica,-1,0,0,0,1
Belgium,Morocco,-1,0,0,0,1
Croatia,Canada,1,0,1,0,0
Spain,Germany,0,0,0,1,0
Cameroon,Serbia,0,0,0,1,0
South Korea,Ghana,-1,0,0,0,1
Brazil,Switzerland,1,0,1,0,0
Portugal,Uruguay,1,0,1,0,0
Ecuador,Senegal,-1,0,0,0,1
Netherlands,Qatar,1,0,1,0,0
Iran,USA,-1,0,0,0,1
Wales,England,-1,0,0,0,1
Australia,Denmark,1,0,1,0,0
Tunisia,France,1,0,1,0,0
Poland,Argentina,-1,0,0,0,1
Saudi Arabia,Mexico,-1,0,0,0,1
Canada,Morocco,-1,0,0,0,1
Croatia,Belgium,0,0,0,1,0
Costa Rica,Germany,-1,0,0,0,1
Japan,Spain,1,0,1,0,0
Ghana,Uruguay,-1,0,0,0,1
South Korea,Portugal,1,0,1,0,0
Cameroon,Brazil,1,0,1,0,0
Serbia,Switzerland,-1,0,0,0,1
Netherlands,USA,1,1,1,0,0
Argentina,Australia,1,1,1,0,0
France,Poland,1,1,1,0,0
England,Senegal,1,1,1,0,0
Japan,Croatia,-1,1,0,0,1
Brazil,South Korea,1,1,1,0,0
Morocco,Spain,1,1,1,0,0
Portugal,Switzerland,1,1,1,0,0
Croatia,Brazil,1,1,1,0,0
Netherlands,Argentina,-1,1,0,0,1
Morocco,Portugal,1,1,1,0,0
England,France,-1,1,0,0,1
Argentina,Croatia,1,1,1,0,0
France,Morocco,1,1,1,0,0
Croatia,Morocco,1,1,1,0,0
Argentina,France,1,1,1,0,0
